Date,Rain,Quality
1/07/2023,0,99
2/07/2023,0,99
3/07/2023,19.8,99
4/07/2023,3.6,99
5/07/2023,7.6,99
6/07/2023,0.8,99
7/07/2023,2,99
8/07/2023,0.6,99
9/07/2023,0.6,99
10/07/2023,0,99
11/07/2023,0,99
12/07/2023,0,99
13/07/2023,3.2,99
14/07/2023,2.6,99
15/07/2023,0,99
16/07/2023,0,99
17/07/2023,0,99
18/07/2023,12.4,99
19/07/2023,5.2,99
20/07/2023,2.4,99
21/07/2023,6.2,99
22/07/2023,0,99
23/07/2023,0,99
24/07/2023,0,99
25/07/2023,9.6,99
26/07/2023,13.4,99
27/07/2023,6.8,99
28/07/2023,1.2,99
29/07/2023,9.4,99
30/07/2023,0.8,99
31/07/2023,0,99
1/08/2023,0,99
2/08/2023,2.4,99
3/08/2023,0,99
4/08/2023,0,99
5/08/2023,0,99
6/08/2023,0,99
7/08/2023,0,99
8/08/2023,2.2,99
9/08/2023,0.2,99
10/08/2023,5.2,99
11/08/2023,0.8,99
12/08/2023,0,99
13/08/2023,0,99
14/08/2023,1.2,99
15/08/2023,56,99
16/08/2023,5,99
17/08/2023,0.4,99
18/08/2023,0,99
19/08/2023,0,99
20/08/2023,0,99
21/08/2023,2,99
22/08/2023,0.2,99
23/08/2023,0,99
24/08/2023,0,99
25/08/2023,0,99
26/08/2023,0.2,99
27/08/2023,0,99
28/08/2023,0,99
29/08/2023,0,99
30/08/2023,0,99
31/08/2023,0,99
1/09/2023,3.6,99
2/09/2023,5.8,99
3/09/2023,3.2,99
4/09/2023,1.6,99
5/09/2023,3.6,99
6/09/2023,2.2,99
7/09/2023,0,99
8/09/2023,0,99
9/09/2023,0.6,99
10/09/2023,0.8,99
11/09/2023,0,99
12/09/2023,0,99
13/09/2023,28,99
14/09/2023,0.4,99
15/09/2023,1.6,99
16/09/2023,0.2,99
17/09/2023,0.2,99
18/09/2023,0,99
19/09/2023,0,99
20/09/2023,0,99
21/09/2023,27.8,99
22/09/2023,0,99
23/09/2023,0,99
24/09/2023,0,99
25/09/2023,0,99
26/09/2023,0,99
27/09/2023,0,99
28/09/2023,0,99
29/09/2023,0.2,99
30/09/2023,0.4,99
1/10/2023,3.2,99
2/10/2023,3,99
3/10/2023,0,99
4/10/2023,0,99
5/10/2023,0,99
6/10/2023,0,99
7/10/2023,0,99
8/10/2023,0.2,99
9/10/2023,0,99
10/10/2023,0,99
11/10/2023,0,99
12/10/2023,0,99
13/10/2023,0,99
14/10/2023,0,99
15/10/2023,0,99
16/10/2023,0,99
17/10/2023,0,99
18/10/2023,0,99
19/10/2023,0,99
20/10/2023,0,99
21/10/2023,0,99
22/10/2023,0,99
23/10/2023,0,99
24/10/2023,0,99
25/10/2023,0,99
26/10/2023,0,99
27/10/2023,0,99
28/10/2023,0,99
29/10/2023,0,99
30/10/2023,0,99
31/10/2023,0,99
1/11/2023,0,99
2/11/2023,0,99
3/11/2023,0,99
4/11/2023,0,99
