Site No.,Station Type,Address,Lat,Long,Elev(m),Team,,,
509398,Rain_gauge,BALLAJURA DRAIN AT BALLAJURA,-31.82423,115.87203,39,Catchment & Environments,,,
509417,Rain_gauge,WOODBRIDGE CREEK AT BROWN PARK (P1),-31.89140,116.05243,48,Catchment & Environments,,,
509452,Rain_gauge,LESMURDIE BROOK  AT ORANGEDALE ROAD (P9) ,-32.00513,116.06026,267,Catchment & Environments,,,
509460,Rain_gauge,POISON GULLY AT MAIDA VALE (P6),-31.94756,116.06026,267,Catchment & Environments,,,
509573,Rain_gauge,LIGHT ST B.D. AT MORLEY ,-31.88917,115.88889,24,Catchment & Environments,,,
509574,Rain_gauge,BOORAGOON LAKE INFLOW  AT PINEY LAKES RESERVE ,-32.04753,115.84215,20,Catchment & Environments,,,
509583,Rain_gauge,MARKET GARDEN SWAMPS AT PACKHAM 1B DRAIN ,-32.11757,115.77916,2,Catchment & Environments,,,
509593,Rain_gauge,ESSEX ST MD AT FREMANTLE JAIL ,-32.05580,115.75392,20,Catchment & Environments,,,
509702,Rain_gauge,ROCKINGHAM MAIN DRAIN AT WENDO COURT,-32.28389,115.76167,8,Catchment & Environments,,,
509704,Rain_gauge,COLIN RD MAIN DRAIN AT COLIN RD COMP BASIN ,-31.89972,115.76667,3,Catchment & Environments,,,
509451,Rain_gauge,BICKLEY BROOK AT AUSTIN AVENUE (P10) ,-32.04167,115.97750,7,Catchment & Environments,,,
509458,Rain_gauge,WOODLUPINE BROOK AT WELSHPOOL (P8) ,-32.00361,115.97694,13,Catchment & Environments,,,
509459,Rain_gauge,NEERIGEN BROOK AT ARMADALE (P5),-32.14961,116.02060,63,Catchment & Environments,,,
509703,Rain_gauge,MILLS ST MAIN DRAIN AT ELLAM ST EAST COMPENSATING BASIN,-31.99611,115.91750,8,Catchment & Environments,,,
W0034613,Rain_gauge,MT ELIZA FRASER AV KINGS PARK,-31.95803,115.84148,73,Catchment & Environments,,,
616015,GSTN,POISON GULLY CREEK AT LITTLEFIELD RD,-31.95366,116.00671,40,Catchment & Environments,,,
616042,GSTN,YULE BROOK MAIN DRAIN AT BRIXTON STREET,-32.02528,115.96722,5,Catchment & Environments,,,
616043,GSTN,MILL ST MAIN DRAIN AT PALM PLACE,-32.01644,115.91949,4,Catchment & Environments,,,
616044,GSTN,NEERIGEN BROOK MAIN DRAIN AT ABBEY ROAD,-32.15000,116.01083,52,Catchment & Environments,,,
616045,GSTN,MT LAWLEY MAIN DRAIN AT MT LAWLEY,-31.93900,115.87895,0,Catchment & Environments,,,
616046,GSTN,WOODLUPINE BROOK AT HARTFIELD PARK,-31.99872,115.98939,18,Catchment & Environments,,,
616047,GSTN,BICKLEY BROOK MAIN DRAIN AT AUSTIN AVE,-32.04306,115.97620,7,Catchment & Environments,,,
6556W003,IWSS,163 Willcox St Chidlow,-31.86117,116.27796,,Conveyance,,,
6055W032,IWSS,HUBERT ST H20 GUILDFORD,-31.90005,115.97432,,Conveyance,,,
6056W033,IWSS,179 Gugeri Rd Herne Hill,-31.83663,116.03753,,Conveyance,,,
6072W001,IWSS,100 THORNBILL PL Mahogany Creek,-31.91377,116.13303,,Conveyance,,,
6082W002,IWSS,9 Buckland Gr Mt Helena,-31.86654,116.22089,,Conveyance,,,
6081W008,IWSS,20 Vista Dr Parkerville,-31.87286,116.14739,,Conveyance,,,
6074W002,IWSS,660 LANCE ST Sawyers Valley,-31.88742,116.22292,,Conveyance,,,
6056W004,IWSS,39 Campolino Gardens Stratton,-31.86739,116.04897,,Conveyance,,,
6053W001,IWSS,15 Bay View St Bayswater,-31.90903,115.90232,,Conveyance,,,
6055W008,IWSS,147 Arthur St Dayton,-31.86067,115.97373,,Conveyance,,,
6055W029,IWSS,5 Sapphire Rd Dayton,-31.84919,115.97786,,Conveyance,,,
6055W028,IWSS,152 Cranleigh St Dayton,-31.85136,115.97169,,Conveyance,,,
6000W031,IWSS,231 Adelaide Tce East Perth,-31.95844,115.86734,,Conveyance,,,
6004W016,IWSS,28 Trafalgar Rd East Perth,-31.95510,115.88028,,Conveyance,,,
6018W016,IWSS,42 Paine Court Karrinyup,-31.87751,115.78258,,Conveyance,,,
6062W019,IWSS,3B Mcpherson Ave  Noranda,-31.87764,115.91309,,Conveyance,,,
6019W005,IWSS,3 Sackville Terrace Scarborough,-31.88927,115.76259,,Conveyance,,,
6037W004,IWSS,TWO ROCKS AT 102 ASHMORE AV,-31.50376,115.60786,,Conveyance,,,
6025W053,IWSS,HILLARYS OP 25 RAE Pl,-31.81299,115.74980,,Conveyance,,,
6035W024,IWSS,8 Birdie Gr Yanchep,-31.54399,115.65465,,Conveyance,,,
6035W025,IWSS,19 Chittick Way Yanchep,-31.53604,115.63367,,Conveyance,,,
6035W010,IWSS,62 Moorpark Av Yanchep,-31.54243,115.64781,,Conveyance,,,
6063W009,IWSS,1 CHAMAELEON RD Bennett Springs,-31.85682,115.95613,,Conveyance,,,
6063W004,IWSS,127 Bennett Springs Dr Bennett Springs,-31.85764,115.93518,,Conveyance,,,
6063W010,IWSS,BENNETT SPRINGS AT 57 MITRA LOOP,-31.85690,115.91827,,Conveyance,,,
6055W026,IWSS,121 Pannage Way Brabham,-31.81443,115.97788,,Conveyance,,,
6055W027,IWSS,11 BILDERSEE AV Brabham,-31.81445,115.96442,,Conveyance,,,
6084W011,IWSS,15 CORVETTE RD  BULLSBROOK,-31.67317,116.02944,,Conveyance,,,
6084W010,IWSS,H66 HURD RD BULLSBROOK,-31.65944,116.04559,,Conveyance,,,
6055W030,IWSS,OPP 218 Patricia St Caversham,-31.86636,115.95860,,Conveyance,,,
6069W027,IWSS,35 Charlottes Vista  Ellenbrook,-31.62435,115.69595,,Conveyance,,,
6069W028,IWSS,109 Pineroo Terrace  Ellenbrook,-31.74789,115.98098,,Conveyance,,,
6069W033,IWSS,THE VINES AT 49 HAWTHORDEN AVE,-31.74569,115.99923,,Conveyance,,,
6069W024,IWSS,TURNBERRY WAY H14 The Vines,-31.76726,116.02002,,Conveyance,,,
"
6069W032",IWSS,50 Citrus Street Upper Swan,-31.76726,116.02002,,Conveyance,,,
6069W031,IWSS,7 Orchard Street Upper Swan,-31.76920,116.02992,,Conveyance,,,
6038W005,IWSS,56 Chesham Rise Alkimos,-31.62435,115.69595,,Conveyance,,,
6038W006,IWSS,79 Zodiac Drive Alkimos,-31.60500,115.66324,,Conveyance,,,
6038W007,IWSS,52 Shipmaster Av Alkimos,-31.59965,115.67805,,Conveyance,,,
6031W030,IWSS,27 Media Cr Banksia Grove,-31.70203,115.80447,,Conveyance,,,
6031W029,IWSS,57 Boomerang Loop Banksia Grove,-31.68871,115.80908,,Conveyance,,,
