Date,Stage,Quality
1/07/2023,10.057,99
2/07/2023,10.054,99
3/07/2023,10.127,99
4/07/2023,10.118,99
5/07/2023,10.108,99
6/07/2023,10.094,99
7/07/2023,10.105,99
8/07/2023,10.098,99
9/07/2023,10.093,99
10/07/2023,10.084,99
11/07/2023,10.077,99
12/07/2023,10.073,99
13/07/2023,10.101,99
14/07/2023,10.08,99
15/07/2023,10.071,99
16/07/2023,10.068,99
17/07/2023,10.065,99
18/07/2023,10.082,99
19/07/2023,10.19,99
20/07/2023,10.118,99
21/07/2023,10.121,99
22/07/2023,10.101,99
23/07/2023,10.093,99
24/07/2023,10.086,99
25/07/2023,10.088,99
26/07/2023,10.221,99
27/07/2023,10.171,99
28/07/2023,10.139,99
29/07/2023,10.166,99
30/07/2023,10.136,99
31/07/2023,10.122,99
1/08/2023,10.113,99
2/08/2023,10.112,99
3/08/2023,10.114,99
4/08/2023,10.098,99
5/08/2023,10.093,99
6/08/2023,10.091,99
7/08/2023,10.088,99
8/08/2023,10.095,99
9/08/2023,10.089,99
10/08/2023,10.093,99
11/08/2023,10.096,99
12/08/2023,10.084,99
13/08/2023,10.081,99
14/08/2023,10.079,99
15/08/2023,10.217,99
16/08/2023,10.209,99
17/08/2023,10.142,99
18/08/2023,10.123,99
19/08/2023,10.115,99
20/08/2023,10.109,99
21/08/2023,10.105,99
22/08/2023,10.099,99
23/08/2023,10.096,99
24/08/2023,10.093,99
25/08/2023,10.088,99
26/08/2023,10.085,99
27/08/2023,10.084,99
28/08/2023,10.082,99
29/08/2023,10.08,99
30/08/2023,10.076,99
31/08/2023,10.076,99
1/09/2023,10.101,99
2/09/2023,10.11,99
3/09/2023,10.135,99
4/09/2023,10.097,99
5/09/2023,10.115,99
6/09/2023,10.11,99
7/09/2023,10.089,99
8/09/2023,10.085,99
9/09/2023,10.082,99
10/09/2023,10.082,99
11/09/2023,10.08,99
12/09/2023,10.08,99
13/09/2023,10.169,99
14/09/2023,10.126,99
15/09/2023,10.123,99
16/09/2023,10.105,99
17/09/2023,10.096,99
18/09/2023,10.092,99
19/09/2023,10.09,99
20/09/2023,10.085,99
21/09/2023,10.079,99
22/09/2023,10.078,99
23/09/2023,10.075,99
24/09/2023,10.074,99
25/09/2023,10.071,99
26/09/2023,10.068,99
27/09/2023,10.063,99
28/09/2023,10.062,99
29/09/2023,10.065,99
30/09/2023,10.065,99
1/10/2023,10.067,99
2/10/2023,10.104,99
3/10/2023,10.071,99
4/10/2023,10.064,99
5/10/2023,10.058,99
6/10/2023,10.049,99
7/10/2023,10.041,99
8/10/2023,10.044,99
9/10/2023,10.049,99
10/10/2023,10.042,99
11/10/2023,10.041,99
12/10/2023,10.035,99
13/10/2023,10.03,99
14/10/2023,10.015,99
15/10/2023,10.016,99
16/10/2023,10.017,99
17/10/2023,10.022,99
18/10/2023,10.021,99
19/10/2023,10.027,99
20/10/2023,10.031,99
21/10/2023,10.033,99
22/10/2023,10.036,99
23/10/2023,10.033,99
24/10/2023,10.028,99
25/10/2023,10.029,99
26/10/2023,10.034,99
27/10/2023,10.034,99
28/10/2023,10.034,99
29/10/2023,10.041,99
30/10/2023,10.039,99
31/10/2023,10.033,99
1/11/2023,10.03,99
2/11/2023,10.027,99
3/11/2023,10.029,99
4/11/2023,10.035,99
5/11/2023,10.041,99
